buildA,buildB,developmentLevel,battles,aWins,bWins,draws,aScoreRate,aDecisiveWinWilsonLow,aDecisiveWinWilsonHigh,roundLimitRate,mutualEliminationRate,medianRounds,p90Rounds,meanRound1RawDamageA,meanRound1RawDamageB,meanSurvivorsA,meanSurvivorsB,meanSummonFailuresA,meanSummonFailuresB,meanImmediateAttacksA,meanImmediateAttacksB,meanShieldBlocksA,meanShieldBlocksB,meanFurnaceTransfersA,meanFurnaceTransfersB,meanPermanentDeltaA,meanPermanentDeltaB,effectLimitHits,exceptions
B01_SHIELD,B04_DEATH,H,200,200,0,0,1,0.981155,1,0,0,1,2,167.105,325.325,3.355,0,0,0,0,0,7.17,0,3.89,0,3,34.01,0,0
B01_SHIELD,B05_SPELL,H,200,199,0,1,0.9975,0.981062,1,0,0.005,2,2,173.595,242.125,3.085,0,0,0,0,0,8.59,2,3.89,0,3,0,0,0
B01_SHIELD,B06_REFRESH,H,200,200,0,0,1,0.981155,1,0,0,2,2,184.43,189.36,2.94,0,0,0,0,0,8.99,5,3.965,0,3,0,0,0
B02_BREAK,B03_SUMMON,H,200,200,0,0,1,0.981155,1,0,0,1,2,281.405,146.68,2.865,0,0,0,0,3.71,5.665,0,2.565,0,9,7.9,0,0
B02_BREAK,B04_DEATH,H,200,200,0,0,1,0.981155,1,0,0,1,2,177.285,297.585,2.8,0,0,0,0,0,5.33,0,2.7,0,9,31.37,0,0
B02_BREAK,B05_SPELL,H,200,190,2,8,0.97,0.962821,0.997139,0,0.04,2,2,202.605,220.77,2.165,0.01,0,0,0,0,6.04,2,2.765,0,9,0,0,0
B02_BREAK,B06_REFRESH,H,200,136,19,45,0.7925,0.81648,0.920103,0,0.225,2,2,223.925,178.39,1.11,0.105,0,0,0,0,6.03,5,2.73,0,9,0,0,0
B03_SUMMON,B04_DEATH,H,200,11,164,25,0.1175,0.035458,0.109036,0,0.125,1,1,139.24,400.03,0.1,1.06,0,0,3.875,0,0,0,0,0,9.19,34.44,0,0
B03_SUMMON,B05_SPELL,H,200,0,200,0,0,0,0.018845,0,0,1,1,133.97,280.86,0,3.075,0,0,4.325,0,0,2,0,0,9,0,0,0
B03_SUMMON,B06_REFRESH,H,200,0,200,0,0,0,0.018845,0,0,1,1,148.95,227,0,2.915,0,0,3.83,0,0,4.955,0,0,8.63,0,0,0
B04_DEATH,B05_SPELL,H,200,9,147,44,0.155,0.030646,0.105999,0,0.22,1,2,278.235,189.78,0.045,1.01,0,0,0,0,0,2,0,0,34.54,0,0,0
B04_DEATH,B06_REFRESH,H,200,0,198,2,0.005,0,0.019032,0,0.01,1,2,328.28,155.93,0,2.01,0,0,0,0,0,4.88,0,0,34.45,0,0,0
B05_SPELL,B06_REFRESH,H,200,50,69,81,0.4525,0.335344,0.509985,0,0.405,2,2,238.375,177.82,0.265,0.37,0,0,0,0,2,5,0,0,0,0,0,0
